fecha;estacion008;estacion011;estacion039;estacion047;estacion049;estacion050;estacion056
01/01/2017;53.0;49.0;53.0;52.0;41.0;52.0;48.0
01/02/2017;64.0;47.0;50.0;64.0;50.0;52.0;57.0
01/03/2017;80.0;64.0;72.0;79.0;48.0;70.0;80.0
01/04/2017;86.0;82.0;74.0;72.0;50.0;81.0;73.0
01/05/2017;80.0;79.0;73.0;65.0;51.0;77.0;70.0
01/06/2017;81.0;66.0;75.0;60.0;48.0;56.0;68.0
01/07/2017;74.0;67.0;75.0;70.0;50.0;65.0;82.0
01/08/2017;78.0;62.0;75.0;77.0;61.0;66.0;82.0
01/09/2017;90.0;78.0;87.0;82.0;61.0;80.0;94.0
01/10/2017;97.0;87.0;75.0;87.0;67.0;79.0;111.0
01/11/2017;74.0;54.0;50.0;77.0;51.0;54.0;108.0
01/12/2017;77.0;54.0;66.0;55.0;46.0;59.0;69.0
01/13/2017;52.0;44.0;30.0;37.0;31.0;46.0;41.0
01/14/2017;63.0;44.0;42.0;65.0;41.0;44.0;79.0
01/15/2017;60.0;42.0;39.0;50.0;34.0;44.0;59.0
01/16/2017;82.0;66.0;62.0;81.0;57.0;66.0;96.0
01/17/2017;54.0;43.0;26.0;44.0;33.0;38.0;60.0
01/18/2017;50.0;31.0;30.0;39.0;34.0;30.0;47.0
01/19/2017;48.0;24.0;28.0;38.0;31.0;28.0;46.0
01/20/2017;44.0;20.0;23.0;33.0;28.0;25.0;42.0
01/21/2017;54.0;32.0;32.0;39.0;33.0;31.0;50.0
01/22/2017;69.0;55.0;49.0;53.0;52.0;48.0;64.0
01/23/2017;67.0;55.0;68.0;66.0;49.0;55.0;74.0
01/24/2017;102.0;92.0;93.0;94.0;70.0;92.0;104.0
01/25/2017;93.0;79.0;88.0;83.0;72.0;75.0;94.0
01/26/2017;87.0;73.0;76.0;77.0;66.0;68.0;84.0
01/27/2017;67.0;53.0;50.0;52.0;43.0;57.0;58.0
01/28/2017;55.0;29.0;31.0;28.0;23.0;35.0;32.0
01/29/2017;51.0;46.0;41.0;38.0;31.0;44.0;45.0
01/30/2017;56.0;49.0;42.0;37.0;31.0;51.0;49.0
01/31/2017;63.0;48.0;48.0;63.0;42.0;43.0;85.0
02/01/2017;71.0;64.0;62.0;61.0;46.0;61.0;73.0
02/02/2017;55.0;46.0;43.0;37.0;31.0;49.0;50.0
02/03/2017;46.0;30.0;27.0;23.0;24.0;38.0;29.0
02/04/2017;28.0;13.0;11.0;10.0;13.0;20.0;10.0
02/05/2017;31.0;15.0;10.0;9.0;10.0;18.0;10.0
02/06/2017;52.0;33.0;27.0;24.0;21.0;36.0;31.0
02/07/2017;56.0;40.0;32.0;36.0;27.0;42.0;50.0
02/08/2017;61.0;44.0;37.0;49.0;33.0;43.0;53.0
02/09/2017;85.0;81.0;75.0;67.0;60.0;74.0;80.0
02/10/2017;73.0;58.0;59.0;67.0;56.0;54.0;80.0
02/11/2017;56.0;30.0;31.0;48.0;35.0;34.0;61.0
02/12/2017;50.0;34.0;35.0;35.0;27.0;31.0;47.0
02/13/2017;48.0;31.0;31.0;28.0;37.0;31.0
02/14/2017;67.0;54.0;48.0;54.0;40.0;48.0;66.0
02/15/2017;63.0;43.0;48.0;54.0;35.0;41.0;72.0
02/16/2017;68.0;55.0;55.0;59.0;42.0;48.0;69.0
02/17/2017;74.0;55.0;61.0;67.0;47.0;57.0;77.0
02/18/2017;79.0;67.0;63.0;65.0;53.0;62.0;72.0
02/19/2017;50.0;32.0;29.0;40.0;29.0;30.0;50.0
02/20/2017;60.0;44.0;43.0;56.0;34.0;40.0;70.0
02/21/2017;72.0;51.0;56.0;67.0;48.0;48.0;75.0
02/22/2017;80.0;59.0;70.0;81.0;56.0;54.0;86.0
02/23/2017;72.0;57.0;58.0;73.0;51.0;58.0;80.0
02/24/2017;64.0;49.0;42.0;51.0;38.0;48.0;55.0
02/25/2017;65.0;52.0;45.0;48.0;36.0;53.0;56.0
02/26/2017;53.0;36.0;40.0;37.0;30.0;39.0;40.0
02/27/2017;45.0;24.0;24.0;23.0;15.0;35.0;21.0
02/28/2017;50.0;26.0;27.0;24.0;18.0;35.0;21.0
03/01/2017;61.0;42.0;43.0;45.0;31.0;52.0;52.0
03/02/2017;71.0;69.0;67.0;60.0;40.0;63.0;67.0
03/03/2017;69.0;56.0;55.0;44.0;40.0;51.0;50.0
03/04/2017;41.0;24.0;23.0;18.0;13.0;29.0;23.0
03/05/2017;42.0;19.0;21.0;18.0;14.0;28.0;17.0
03/06/2017;57.0;36.0;29.0;26.0;20.0;39.0;25.0
03/07/2017;60.0;41.0;34.0;36.0;24.0;43.0;38.0
03/08/2017;97.0;88.0;90.0;76.0;65.0;76.0;77.0
03/09/2017;110.0;91.0;86.0;80.0;68.0;75.0;86.0
03/10/2017;93.0;65.0;79.0;81.0;59.0;63.0;88.0
03/11/2017;77.0;53.0;57.0;49.0;46.0;49.0;51.0
03/12/2017;37.0;22.0;19.0;24.0;13.0;20.0;28.0
03/13/2017;34.0;15.0;12.0;23.0;13.0;17.0;28.0
03/14/2017;51.0;23.0;23.0;37.0;25.0;21.0;53.0
03/15/2017;51.0;29.0;29.0;35.0;22.0;25.0;57.0
03/16/2017;53.0;40.0;35.0;36.0;25.0;31.0;56.0
03/17/2017;63.0;44.0;48.0;46.0;29.0;38.0;75.0
03/18/2017;70.0;49.0;59.0;59.0;41.0;48.0;70.0
03/19/2017;76.0;48.0;57.0;55.0;42.0;46.0;58.0
03/20/2017;52.0;25.0;33.0;40.0;23.0;28.0;38.0
03/21/2017;50.0;29.0;27.0;25.0;19.0;35.0;27.0
03/22/2017;50.0;27.0;26.0;22.0;17.0;34.0;24.0
03/23/2017;52.0;48.0;35.0;34.0;29.0;44.0;41.0
03/24/2017;58.0;47.0;34.0;46.0;34.0;40.0;53.0
03/25/2017;57.0;52.0;41.0;48.0;37.0;44.0;55.0
03/26/2017;36.0;31.0;23.0;19.0;14.0;23.0;39.0
03/27/2017;50.0;30.0;30.0;26.0;18.0;41.0;28.0
03/28/2017;69.0;46.0;44.0;57.0;34.0;43.0;59.0
