fecha;estacion011;estacion039;estacion050
01/01/2017;49.0;53.0;52.0
01/02/2017;47.0;50.0;52.0
01/03/2017;64.0;72.0;70.0
01/04/2017;82.0;74.0;81.0
01/05/2017;79.0;73.0;77.0
01/06/2017;66.0;75.0;56.0
01/07/2017;67.0;75.0;65.0
01/08/2017;62.0;75.0;66.0
01/09/2017;78.0;87.0;80.0
01/10/2017;87.0;75.0;79.0
01/11/2017;54.0;50.0;54.0
01/12/2017;54.0;66.0;59.0
01/13/2017;44.0;30.0;46.0
01/14/2017;44.0;42.0;44.0
01/15/2017;42.0;39.0;44.0
01/16/2017;66.0;62.0;66.0
01/17/2017;43.0;26.0;38.0
01/18/2017;31.0;30.0;30.0
01/19/2017;24.0;28.0;28.0
01/20/2017;20.0;23.0;25.0
01/21/2017;32.0;32.0;31.0
01/22/2017;55.0;49.0;48.0
01/23/2017;55.0;68.0;55.0
01/24/2017;92.0;93.0;92.0
01/25/2017;79.0;88.0;75.0
01/26/2017;73.0;76.0;68.0
01/27/2017;53.0;50.0;57.0
01/28/2017;29.0;31.0;35.0
01/29/2017;46.0;41.0;44.0
01/30/2017;49.0;42.0;51.0
01/31/2017;48.0;48.0;43.0
02/01/2017;64.0;62.0;61.0
02/02/2017;46.0;43.0;49.0
02/03/2017;30.0;27.0;38.0
02/04/2017;13.0;11.0;20.0
02/05/2017;15.0;10.0;18.0
02/06/2017;33.0;27.0;36.0
02/07/2017;40.0;32.0;42.0
02/08/2017;44.0;37.0;43.0
02/09/2017;81.0;75.0;74.0
02/10/2017;58.0;59.0;54.0
02/11/2017;30.0;31.0;34.0
02/12/2017;34.0;35.0;31.0
02/13/2017;31.0;31.0;37.0
02/14/2017;54.0;48.0;48.0
02/15/2017;43.0;48.0;41.0
02/16/2017;55.0;55.0;48.0
02/17/2017;55.0;61.0;57.0
02/18/2017;67.0;63.0;62.0
02/19/2017;32.0;29.0;30.0
02/20/2017;44.0;43.0;40.0
02/21/2017;51.0;56.0;48.0
02/22/2017;59.0;70.0;54.0
02/23/2017;57.0;58.0;58.0
02/24/2017;49.0;42.0;48.0
02/25/2017;52.0;45.0;53.0
02/26/2017;36.0;40.0;39.0
02/27/2017;24.0;24.0;35.0
02/28/2017;26.0;27.0;35.0
03/01/2017;42.0;43.0;52.0
03/02/2017;69.0;67.0;63.0
03/03/2017;56.0;55.0;51.0
03/04/2017;24.0;23.0;29.0
03/05/2017;19.0;21.0;28.0
03/06/2017;36.0;29.0;39.0
03/07/2017;41.0;34.0;43.0
03/08/2017;88.0;90.0;76.0
03/09/2017;91.0;86.0;75.0
03/10/2017;65.0;79.0;63.0
03/11/2017;53.0;57.0;49.0
03/12/2017;22.0;19.0;20.0
03/13/2017;15.0;12.0;17.0
03/14/2017;23.0;23.0;21.0
03/15/2017;29.0;29.0;25.0
