fecha;zona1;zona2;zona3;zona4;zona5;zona6
01/01/2017;51.0;51.33;48.5;42.0;51.5;46.0
01/02/2017;55.75;49.67;58.75;48.4;58.75;49.25
01/03/2017;67.0;68.67;71.75;60.0;79.0;59.0
01/04/2017;70.25;79.0;70.25;64.2;76.5;55.5
01/05/2017;65.0;76.33;66.5;59.0;75.75;56.25
01/06/2017;63.5;65.67;64.25;49.4;68.75;45.0
01/07/2017;67.5;69.0;69.0;53.4;74.5;54.5
01/08/2017;69.25;67.67;74.5;58.0;73.25;53.75
01/09/2017;76.0;81.67;81.75;69.8;89.0;61.25
01/10/2017;79.25;80.33;90.5;61.4;84.0;74.5
01/11/2017;63.5;52.67;77.5;40.0;58.25;48.25
01/12/2017;56.75;59.67;61.75;47.8;64.0;39.75
01/13/2017;42.75;40.0;40.25;31.6;33.0;22.25
01/14/2017;52.75;43.33;62.0;36.8;46.0;36.5
01/15/2017;47.5;41.67;50.75;39.4;48.0;32.75
01/16/2017;67.5;64.67;79.0;48.0;69.0;49.75
01/17/2017;45.0;35.67;47.75;26.6;31.25;23.75
01/18/2017;38.0;30.33;42.5;28.0;34.5;25.0
01/19/2017;34.0;26.67;40.75;25.4;27.25;21.5
01/20/2017;30.25;22.67;36.75;19.8;24.5;17.25
01/21/2017;39.25;31.67;44.0;30.6;33.75;23.0
01/22/2017;54.75;50.67;59.5;46.2;47.5;40.25
01/23/2017;64.0;59.33;64.0;48.6;56.25;44.75
01/24/2017;86.0;92.33;92.5;78.8;84.5;69.25
01/25/2017;77.75;80.67;85.5;80.2;83.5;67.0
01/26/2017;73.25;72.33;78.5;70.2;72.0;63.25
01/27/2017;51.75;53.33;55.0;46.6;53.25;37.0
01/28/2017;31.5;31.67;34.5;32.8;33.0;19.5
01/29/2017;40.0;43.67;41.25;46.0;36.5;31.0
01/30/2017;42.0;47.33;43.25;47.2;39.75;32.5
01/31/2017;53.25;46.33;63.25;47.6;54.0;42.25
02/01/2017;68.25;62.33;62.75;53.0;61.75;48.5
02/02/2017;43.5;46.0;43.25;40.8;38.0;28.25
02/03/2017;30.25;31.67;30.5;30.6;25.75;14.5
02/04/2017;16.25;14.67;15.25;14.6;11.5;7.0
02/05/2017;15.5;14.33;15.0;9.8;11.5;6.0
02/06/2017;30.75;32.0;32.0;26.0;29.5;14.0
02/07/2017;39.0;38.0;42.25;36.2;37.0;23.25
02/08/2017;47.75;41.33;49.0;30.6;42.0;28.5
02/09/2017;73.5;76.67;73.0;71.0;75.0;56.5
02/10/2017;69.25;57.0;69.0;54.6;62.75;53.75
02/11/2017;46.0;31.67;50.0;30.2;36.0;24.25
02/12/2017;41.75;33.33;39.75;28.8;25.25;26.0
02/13/2017;30.75;33.0;35.67;28.8;25.25;19.75
02/14/2017;54.5;50.0;56.75;49.6;53.25;37.25
02/15/2017;51.0;44.0;56.0;45.2;48.75;40.25
02/16/2017;57.0;52.67;59.5;52.2;53.0;43.5
02/17/2017;62.75;57.67;66.25;55.0;66.75;47.5
02/18/2017;64.75;64.0;67.25;62.4;69.75;47.5
02/19/2017;36.5;30.33;42.25;29.4;32.25;23.75
02/20/2017;50.25;42.33;55.0;43.4;50.75;36.25
02/21/2017;61.0;51.67;65.5;52.2;59.5;41.0
02/22/2017;69.5;61.0;75.75;59.0;62.0;48.75
02/23/2017;65.25;57.67;69.0;56.0;61.5;50.5
02/24/2017;50.25;46.33;52.0;44.0;48.75;34.5
02/25/2017;50.5;50.0;51.25;51.2;46.0;32.5
02/26/2017;37.75;38.33;40.0;38.8;36.5;26.5
02/27/2017;24.5;27.67;26.0;24.6;25.25;12.75
