fecha;Zona1;Zona2;Zona3;Zona4;Zona5
01/01/2017;50.4;44.33;44.67;36.0;58.33
01/02/2017;55.0;56.33;49.67;38.5;62.33
01/03/2017;68.1;73.67;62.5;42.0;84.0
01/04/2017;72.6;72.33;67.5;37.5;75.0
01/05/2017;68.5;78.0;61.5;44.0;67.33
01/06/2017;64.0;62.67;51.17;30.5;71.33
01/07/2017;67.1;66.0;55.33;42.0;83.67
01/08/2017;69.6;65.67;59.5;39.5;82.33
01/09/2017;78.2;83.33;72.0;42.0;92.67
01/10/2017;80.9;81.33;67.5;57.5;96.0
01/11/2017;61.4;51.33;41.17;36.5;86.67
01/12/2017;58.4;60.0;49.67;25.0;65.0
01/13/2017;41.1;31.0;31.67;13.0;37.0
01/14/2017;51.0;37.67;36.67;24.0;70.67
01/15/2017;45.9;47.33;39.0;22.5;52.67
01/16/2017;68.4;66.0;49.0;37.0;81.67
01/17/2017;41.8;27.33;25.17;18.0;48.0
01/18/2017;36.6;34.0;28.0;19.0;39.0
01/19/2017;33.3;26.0;25.67;14.5;35.67
01/20/2017;29.4;23.67;19.67;12.0;31.67
01/21/2017;37.8;33.33;30.5;14.0;39.67
01/22/2017;54.5;44.67;47.17;28.0;57.67
01/23/2017;61.6;49.0;49.67;30.0;72.0
01/24/2017;88.7;81.33;82.5;45.0;94.67
01/25/2017;80.1;77.67;81.0;51.5;91.67
01/26/2017;74.0;71.33;72.83;48.5;76.0
01/27/2017;52.9;52.67;47.33;24.5;53.67
01/28/2017;32.7;31.67;32.17;11.5;31.67
01/29/2017;41.1;35.67;46.0;21.0;40.0
01/30/2017;43.4;39.0;47.5;21.0;43.33
01/31/2017;52.0;51.67;48.17;30.5;67.67
02/01/2017;63.8;59.67;55.33;34.5;66.33
02/02/2017;43.5;36.33;40.17;19.5;43.33
02/03/2017;30.9;24.33;28.83;8.5;26.67
02/04/2017;16.0;10.0;13.83;4.0;12.0
02/05/2017;15.5;11.0;9.67;3.0;10.67
02/06/2017;31.6;28.33;24.83;6.5;29.33
02/07/2017;38.9;36.67;35.5;13.5;40.67
02/08/2017;45.8;40.33;31.5;19.5;46.33
02/09/2017;73.6;74.33;72.5;39.0;75.0
02/10/2017;64.4;62.33;55.67;42.0;71.33
02/11/2017;41.8;34.33;28.83;16.0;48.33
02/12/2017;37.9;25.33;29.17;19.5;35.33
02/13/2017;33.11;23.67;28.5;13.0;29.0
02/14/2017;52.9;51.67;48.83;26.5;58.33
