fecha;estacion017;estacion018;estacion056
01/01/2017;73.0;54.0;48.0
01/02/2017;66.0;64.0;57.0
01/03/2017;95.0;77.0;80.0
01/04/2017;89.0;63.0;73.0
01/05/2017;69.0;63.0;70.0
01/06/2017;87.0;59.0;68.0
01/07/2017;100.0;69.0;82.0
01/08/2017;96.0;69.0;82.0
01/09/2017;106.0;78.0;94.0
01/10/2017;92.0;85.0;111.0
01/11/2017;79.0;73.0;108.0
01/12/2017;76.0;50.0;69.0
01/13/2017;39.0;31.0;41.0
01/14/2017;71.0;62.0;79.0
01/15/2017;50.0;49.0;59.0
01/16/2017;78.0;71.0;96.0
01/17/2017;43.0;41.0;60.0
01/18/2017;36.0;34.0;47.0
01/19/2017;31.0;30.0;46.0
01/20/2017;27.0;26.0;42.0
01/21/2017;35.0;34.0;50.0
01/22/2017;56.0;53.0;64.0
01/23/2017;78.0;64.0;74.0
01/24/2017;94.0;86.0;104.0
01/25/2017;101.0;80.0;94.0
01/26/2017;74.0;70.0;84.0
01/27/2017;55.0;48.0;58.0
01/28/2017;37.0;26.0;32.0
01/29/2017;39.0;36.0;45.0
01/30/2017;42.0;39.0;49.0
01/31/2017;61.0;57.0;85.0
02/01/2017;68.0;58.0;73.0
02/02/2017;43.0;37.0;50.0
02/03/2017;30.0;21.0;29.0
02/04/2017;16.0;10.0;10.0
02/05/2017;13.0;9.0;10.0
02/06/2017;33.0;24.0;31.0
02/07/2017;38.0;34.0;50.0
02/08/2017;47.0;39.0;53.0
02/09/2017;77.0;68.0;80.0
02/10/2017;64.0;70.0;80.0
02/11/2017;41.0;43.0;61.0
02/12/2017;25.0;34.0;47.0
02/13/2017;30.0;26.0;31.0
02/14/2017;58.0;51.0;66.0
02/15/2017;57.0;58.0;72.0
02/16/2017;56.0;57.0;69.0
02/17/2017;80.0;67.0;77.0
02/18/2017;75.0;63.0;72.0
02/19/2017;36.0;36.0;50.0
02/20/2017;65.0;57.0;70.0
02/21/2017;75.0;64.0;75.0
02/22/2017;73.0;73.0;86.0
02/23/2017;73.0;72.0;80.0
02/24/2017;55.0;48.0;55.0
02/25/2017;55.0;47.0;56.0
02/26/2017;41.0;34.0;40.0
02/27/2017;30.0;20.0;21.0
02/28/2017;28.0;23.0;21.0
