fecha;estacion;cantidad_no2
01/01/2017;28079004;50.0
01/02/2017;28079004;62.0
01/03/2017;28079004;71.0
01/04/2017;28079004;64.0
01/05/2017;28079004;59.0
01/06/2017;28079004;59.0
01/07/2017;28079004;74.0
01/08/2017;28079004;75.0
01/09/2017;28079004;74.0
01/10/2017;28079004;81.0
01/11/2017;28079004;70.0
01/12/2017;28079004;49.0
01/13/2017;28079004;46.0
01/14/2017;28079004;63.0
01/15/2017;28079004;55.0
01/16/2017;28079004;73.0
01/17/2017;28079004;47.0
01/18/2017;28079004;35.0
01/19/2017;28079004;26.0
01/20/2017;28079004;24.0
01/21/2017;28079004;35.0
01/22/2017;28079004;50.0
01/23/2017;28079004;70.0
01/24/2017;28079004;86.0
01/25/2017;28079004;77.0
01/26/2017;28079004;76.0
01/27/2017;28079004;53.0
01/28/2017;28079004;30.0
01/29/2017;28079004;40.0
01/30/2017;28079004;41.0
01/31/2017;28079004;59.0
02/01/2017;28079004;93.0
02/02/2017;28079004;48.0
02/03/2017;28079004;28.0
02/04/2017;28079004;16.0
02/05/2017;28079004;14.0
02/06/2017;28079004;29.0
02/07/2017;28079004;43.0
02/08/2017;28079004;51.0
02/09/2017;28079004;80.0
02/10/2017;28079004;94.0
02/11/2017;28079004;55.0
02/12/2017;28079004;51.0
02/13/2017;28079004;29.0
02/14/2017;28079004;55.0
02/15/2017;28079004;60.0
02/16/2017;28079004;62.0
02/17/2017;28079004;68.0
02/18/2017;28079004;63.0
02/19/2017;28079004;35.0
02/20/2017;28079004;55.0
02/21/2017;28079004;63.0
02/22/2017;28079004;78.0
02/23/2017;28079004;73.0
02/24/2017;28079004;51.0
02/25/2017;28079004;51.0
02/26/2017;28079004;38.0
02/27/2017;28079004;21.0
02/28/2017;28079004;21.0
03/01/2017;28079004;40.0
03/02/2017;28079004;57.0
03/03/2017;28079004;41.0
03/04/2017;28079004;22.0
03/05/2017;28079004;21.0
03/06/2017;28079004;30.0
03/07/2017;28079004;46.0
03/08/2017;28079004;77.0
03/09/2017;28079004;81.0
03/10/2017;28079004;80.0
03/11/2017;28079004;52.0
03/12/2017;28079004;30.0
03/13/2017;28079004;18.0
